"","PFCF.ratio","PB.ratio","PTB.ratio","EV.to.Sales","Enterprise.Value.over.EBITDA","EV.to.Operating.cash.flow","EV.to.Free.cash.flow","Earnings.Yield","Free.Cash.Flow.Yield","Debt.to.Equity","Inventory.Turnover","ROE","Capex.per.Share","Gross.Profit.Growth","EBIT.Growth","Operating.Income.Growth","Net.Income.Growth","EPS.Growth","EPS.Diluted.Growth","Weighted.Average.Shares.Growth","Weighted.Average.Shares.Diluted.Growth","Dividends.per.Share.Growth","Operating.Cash.Flow.growth","Free.Cash.Flow.growth","X10Y.Revenue.Growth..per.Share.","X5Y.Revenue.Growth..per.Share.","X3Y.Revenue.Growth..per.Share.","X10Y.Operating.CF.Growth..per.Share.","X5Y.Operating.CF.Growth..per.Share.","X3Y.Operating.CF.Growth..per.Share.","X10Y.Net.Income.Growth..per.Share.","X5Y.Net.Income.Growth..per.Share.","X3Y.Net.Income.Growth..per.Share.","X10Y.Shareholders.Equity.Growth..per.Share.","X5Y.Shareholders.Equity.Growth..per.Share.","X3Y.Shareholders.Equity.Growth..per.Share.","X10Y.Dividend.per.Share.Growth..per.Share.","X5Y.Dividend.per.Share.Growth..per.Share.","X3Y.Dividend.per.Share.Growth..per.Share.","Receivables.growth","Inventory.Growth","Asset.Growth","Book.Value.per.Share.Growth","Debt.Growth","R.D.Expense.Growth","X2015.PRICE.VAR...."
"1541",0,1.2673,1.2673,9.0632,9.7965,12.8219,-17.8058,0.0732,-0.2951,2.392,0,0.0923,-17.6778,0.2234,0.2667,0.2667,0.3444,0.3351,0.3222,0.006,0.0113,0.2381,0.1755,0.3232,NA,NA,0.3987,NA,NA,0.3617,NA,NA,0.6157,NA,NA,0.0377,NA,NA,0,0,0,0.1456,0.0919,0.1328,0,-2.18544608608865
"2259",28.6298,2.0588,2.0588,4.0152,6.4725,6.9437,48.3985,0.0964,0.0348,1.4944,107.68,0.1982,-5.6908,0.1622,0.2079,0.1404,0.3125,0.3085,0.31,0.0028,0.0037,0,0.2232,2.4565,0.2128,0.1296,0.1057,0.2309,0.1091,0.0986,0.2192,0,0.127,0.2382,0.1434,0.0508,0,0,0,0.1422,-0.0263,0.8545,0.2835,2.571,0,-73.8314313082467
"2626",10.0149,0.9476,1.1873,NA,NA,NA,NA,0.0619,0.0999,0.4199,0,0.0582,-0.2493,0.0289,0.2714,0.2431,0.2405,0.2323,0.2222,0.1312,NA,-0.7143,-0.3024,-0.4686,0.017,-0.0169,-0.0076,0.0501,0.0424,-0.2027,-0.0461,-0.1185,-0.0344,0.0405,0.0107,0.0011,-0.2385,-0.4547,-0.6431,0,0,0.0228,0.0143,0.0688,0,9.38599414827573
"3385",26.9265,4.633,14.8704,2.1743,15.2528,22.3263,26.1784,0.0325,0.0368,0.3024,11.5349,0.1511,-0.8014,0.1691,0.3277,0.3503,0.3799,0.3704,0.3729,0.0142,0.0118,0,0.7619,1.002,0.0108,0.066,0.0954,0.0726,0.1911,0.1257,0.0986,0.1457,0.18,0.0907,0.1053,0.1486,-0.0142,0,0,0.1731,0.0443,0.1379,0.1547,-0.0048,0,67.6442843685931
"2823",0,1.1835,1.4435,7.0514,14.7904,16.8436,-947.8664,0.0515,-1e-04,0.4243,0,0.0459,-0.237,0.2257,0.5256,0.5256,0.5308,0.2586,0.2632,NA,NA,0,-0.6364,-1.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2065,NA,1.0837,0,12.8044444727204
"2583",10.6464,0.9876,1.9283,4.9233,12.9283,11.699,11.6013,0.0464,0.0807,0.4422,0,0.0391,-0.319,0.7689,0.5129,0.5129,0.5094,-0.092,-0.1034,0.6665,0.6719,0,-0.1444,-0.2232,0.012,0.1328,0.0755,-0.0053,0.0768,0.0628,-0.0298,0,0.0667,0.0263,-0.0187,0.1141,0.1055,0.2457,0.3572,0,0,0.9431,0.3122,1.5101,0,-2.18128576316611
"3722",0,2.9682,8.9258,1.9339,0,-39.8476,-34.4949,-0.0833,-0.0266,0.1023,1084.0704,-0.2284,-0.0055,0.1158,-2.9952,-2.9573,-3.9568,-3.2593,-3.2593,0.1449,0.1449,0,-1.244,-0.7941,0.0817,1e-04,0.0352,0,0,0,0,0,0,0,0.1515,0.115,0,0,0,0.536,-0.3964,0.4991,0.4249,-0.2159,5.5269,-49.6402881091305
"1682",0,2.0113,3.2041,0.9948,11.6555,16.4462,-18.648,0.021,-0.0836,1.2902,11.3644,0.0402,-1.5323,-0.0778,10.5571,-0.5286,1.2996,1.3103,1.2982,0.0074,0.007,0,-0.3478,-3.8462,-0.098,0.0483,0.1508,-0.0802,-0.0248,0.2498,0,-0.1047,-0.151,NA,0.0033,-0.0485,0,-1,-1,0.194,0,0.0476,0.0458,0.1587,0,-52.7446302617244
"373",0,0.4999,0.4999,27.3867,0,-1.8302,-1.829,0.6458,-0.1567,0,NA,-0.3236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9607824804415
"3520",0,3.2073,3.6718,2.6928,19.398,17.7403,-35.5101,-0.0032,-0.0341,0.733,11.9661,-0.01,-6.7249,0.3265,1.0539,1.162,0.7706,0.7766,0.7766,0.0413,0.0413,0,1.2347,-0.2129,0.1078,0.0767,0.1459,0.152,0.1738,0.0261,0,0,0,0.1034,0.0665,1e-04,0,0,0,0.0184,0.1253,0.0926,8e-04,0.1717,0.7134,-1.53324851029174
